m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.0
6.747544053110695 1.0
7.149428986597578 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 1.0
10.71891319205128 1.0
11.357333583431057 1.0
12.033778407775898 1.0
12.750512407130135 1.0
13.509935211980272 1.0
14.314589375234792 1.0
15.167168884709232 1.0
16.070528182616393 1.0
17.027691722259004 1.0
18.041864093920726 1.0
19.116440753857027 1.0
20.255019392306675 1.0
21.461411978584046 1.0
22.739657523579286 1.0
24.094035602395255 1.0
25.52908068239518 1.0
27.049597304631355 1.0
28.660676169482517 1.0
30.36771118035459 1.0
32.17641750250737 1.0
34.09285069746813 1.0
36.12342699709432 1.0
38.27494478516313 1.0
40.5546073584083 1.0
42.97004704320842 1.0
45.5293507486695 1.0
48.241087041653714 1.0
51.11433483440168 1.0
54.158713780794734 1.0
57.384416483023955 1.0
60.80224261649424 1.0
64.42363508721374 1.0
68.26071834272389 1.0
72.32633896483537 1.0
76.63410868007459 1.0
81.19844993184013 1.0
86.03464416684504 1.0
91.15888299750823 1.0
96.58832241158703 1.0
102.34114021054538 2.825697077804349e-26
108.43659686896109 2.954548799061311e-26
114.89510001873097 3.090138279972935e-26
121.7382727739662 3.2315668665144797e-26
128.98902612533095 3.3826248633680677e-26
136.67163564620074 3.543426101988366e-26
144.81182276745344 3.707979134588982e-26
153.43684089300132 3.88696459049099e-26
162.5755666443795 4.0836528996294164e-26
172.25859653987874 4.283547605287683e-26
182.51834943190443 4.495981373869587e-26
193.38917504552322 4.729955397955235e-26
204.90746898158483 4.981005277451641e-26
217.11179456945052 4.778954849087445e-26
230.0430119772919 4.4376859699259815e-26
243.74441501222216 4.2044852736155425e-26
258.2618760682677 3.967256597786448e-26
273.6439997074672 1.17745877178156e-26
289.9422853882878 1.1494695916731127e-26
307.21129988617594 1.1221457377925704e-26
325.508859983506 1.0954713947788528e-26
344.896226040576 1.0694311232152677e-26
365.4383070957258 1.044009850692951e-26
387.20387818125573 1.0191928630868158e-26
410.26581058271944 9.949657960388384e-27
434.7013158125026 9.713146266437964e-27
460.5922041145108 9.541184848794326e-27
488.02515836544336 9.761969566038146e-27
517.092024289676 9.98786328097358e-27
547.8901179593945 1.0218984216717563e-26
580.5225516094902 1.0455453332090812e-26
615.0985788580505 1.0697394384922769e-26
651.7339604882427 1.0944933996821022e-26
690.5513520162331 1.1198201719439954e-26
731.68071434272 1.1457330102282072e-26
775.2597488629465 1.1722454762069069e-26
821.434358491943 1.2171066007536974e-26
870.3591361485165 1.2771884611615741e-26
922.1978823334332 1.3402362326472682e-26
977.1241535346502 1.406396325932135e-26
1035.3218432956626 1.47582237922975e-26
1096.985797892384 1.548675615027485e-26
1162.322468679853 1.6251252144804255e-26
1231.550603292826 1.7053487102870125e-26
1304.9019780144029 1.7895323989587918e-26
1382.6221737646563 1.879838810497923e-26
1464.9713983072863 2.0477902263076353e-26
1552.225357427048 2.2307470127453675e-26
1644.6761779946644 2.430049802437533e-26
1742.6333860096508 2.647159004848008e-26
1846.4249428955445 2.883665507562383e-26
1956.3983435170649 3.1413023336626225e-26
2072.921779595372 3.4219573406125007e-26
2196.385372416547 3.727687053706374e-26
2327.2024789604097 4.0607317354467386e-26
2465.811075822604 4.4121850786071436e-26
2612.675225563329 4.780521004632028e-26
2768.2866303920664 5.179606174395182e-26
2933.166278390045 5.612007581566508e-26
3107.866187782014 6.080506516354469e-26
3292.9712550971512 6.588116455307617e-26
3489.1012134067737 7.13810244458338e-26
3696.9127071950284 7.734002101362028e-26
3917.1014908092607 8.379648368490713e-26
4150.404757850477 9.079194168719316e-26
4397.603609302721 9.905417638508091e-26
4659.525668664682 1.0812978983814146e-25
4937.047852839004 1.1803693571674135e-25
5231.099308056264 1.288518012867129e-25
5542.664520663107 1.4065755429870612e-25
5872.7866131894825 1.5354498255922922e-25
6222.570836730231 1.625967820403001e-25
6593.188271333548 1.6818777924933014e-25
6985.879746785249 1.74163729499989e-25
7401.959996915644 1.8041769086664467e-25
7842.822061337682 1.870736999311857e-25
8309.941949353395 1.9447910143341983e-25
8804.883581643464 2.01965645105528e-25
9329.304026284686 2.0946377454099846e-25
9884.959046625587 2.1712993378316373e-25
10473.708979594508 2.2595723458301827e-25
11097.524964120721 2.3484572061645865e-25
11758.495540521582 2.442912054055592e-25
12458.833642950081 2.5404893182759796e-25
13200.884008314195 2.6461916582432235e-25
13987.131026472387 2.754301355466811e-25
14820.2070579886 2.8758914493528456e-25
15702.901247293774 2.9930988815963127e-25
16638.168860761307 3.1266251873426273e-25
17629.14118095948 3.268357111042751e-25
18679.135990207847 3.4150813114840093e-25
19791.668678535574 3.586873298807937e-25
20970.46401323235 3.7693040234860095e-25
22219.468609395237 3.9563926431839906e-25
23542.8641432242 4.160897273677471e-25
24945.081352303165 4.379170604469055e-25
26430.814869741083 4.604194263591715e-25
28005.03894183631 4.84133158976873e-25
29673.024081888725 5.099385534366214e-25
31440.354715915 5.371411690363895e-25
33312.94787934677 5.658249409165544e-25
35297.0730273065 5.964736652995772e-25
37399.373024788016 6.294629598597861e-25
39626.88638701478 6.653335060687573e-25
41987.07084443914 7.047811389899649e-25
44487.82831127585 7.474528995144753e-25
47137.53134116729 7.910934173181188e-25
49945.0511585514 8.38513239570663e-25
52919.78735958447 8.879469063552285e-25
56071.69938205458 9.40583231776915e-25
59411.339849650394 9.96129267157815e-25
62949.88990221888 1.0548941578880153e-24
66699.19663030129 1.1186326688297006e-24
70671.81273927492 1.1842357475409689e-24
74881.03857590031 1.255392918094699e-24
79340.96665797492 1.3280803459141954e-24
84066.52885618334 1.407384908968952e-24
89073.5463861044 1.4904810452694691e-24
94378.7827777539 1.5801554156140375e-24
100000.0 1.0
