m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.0
6.747544053110695 1.0
7.149428986597578 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 1.0
10.71891319205128 1.0
11.357333583431057 1.0
12.033778407775898 1.0
12.750512407130135 1.0
13.509935211980272 1.0
14.314589375234792 1.0
15.167168884709232 1.0
16.070528182616393 1.0
17.027691722259004 1.0
18.041864093920726 1.0
19.116440753857027 1.0
20.255019392306675 1.0
21.461411978584046 1.0
22.739657523579286 1.0
24.094035602395255 1.0
25.52908068239518 1.0
27.049597304631355 1.0
28.660676169482517 1.0
30.36771118035459 1.0
32.17641750250737 1.0
34.09285069746813 1.0
36.12342699709432 1.0
38.27494478516313 1.0
40.5546073584083 1.0
42.97004704320842 1.0
45.5293507486695 1.0
48.241087041653714 1.0
51.11433483440168 1.0
54.158713780794734 1.0
57.384416483023955 1.0
60.80224261649424 1.0
64.42363508721374 1.0
68.26071834272389 1.0
72.32633896483537 1.0
76.63410868007459 1.0
81.19844993184013 1.0
86.03464416684504 1.0
91.15888299750823 1.0
96.58832241158703 1.0
102.34114021054538 3.777027812564895e-22
108.43659686896109 2.6881508186425716e-22
114.89510001873097 1.9991018453901082e-22
121.7382727739662 1.5082360579706437e-22
128.98902612533095 1.1979122961396574e-22
136.67163564620074 9.87913186785087e-23
144.81182276745344 8.512412239721624e-23
153.43684089300132 7.135280352430379e-23
162.5755666443795 6.181822994292634e-23
172.25859653987874 5.1964599647815113e-23
182.51834943190443 4.4434305134923634e-23
193.38917504552322 3.7769441184837615e-23
204.90746898158483 3.162925552490216e-23
217.11179456945052 2.745690083387472e-23
230.0430119772919 2.285948482864521e-23
243.74441501222216 1.942572201215466e-23
258.2618760682677 1.674663650122765e-23
273.6439997074672 1.6203718999011477e-26
289.9422853882878 1.5097025808351428e-26
307.21129988617594 1.4065918340841088e-26
325.508859983506 1.3105234188694362e-26
344.896226040576 1.2210163529945174e-26
365.4383070957258 1.1376225047288177e-26
387.20387818125573 1.0599243491633146e-26
410.26581058271944 9.875328778038455e-27
434.7013158125026 9.200856509366673e-27
460.5922041145108 8.705547242531e-27
488.02515836544336 9.115135068893688e-27
517.092024289676 9.543993618030049e-27
547.8901179593945 9.993029559358395e-27
580.5225516094902 1.0463192220241932e-26
615.0985788580505 1.0955475593005209e-26
651.7339604882427 1.147092043637888e-26
690.5513520162331 1.201061647581474e-26
731.68071434272 1.257570470732422e-26
775.2597488629465 1.3167379809710366e-26
821.434358491943 1.446142804158027e-26
870.3591361485165 1.6441638136075838e-26
922.1978823334332 1.8692999323469406e-26
977.1241535346502 2.1252640449525575e-26
1035.3218432956626 2.4162774430196864e-26
1096.985797892384 2.747139441572797e-26
1162.322468679853 3.12330652808375e-26
1231.550603292826 3.550982349401844e-26
1304.9019780144029 4.037220020636166e-26
1382.6221737646563 4.5697523983600663e-26
1464.9713983072863 4.435316991781254e-26
1552.225357427048 4.30483647749559e-26
1644.6761779946644 4.178194508378158e-26
1742.6333860096508 4.055278160065526e-26
1846.4249428955445 3.9359778302633615e-26
1956.3983435170649 3.8201871410158353e-26
2072.921779595372 3.7078028438504053e-26
2196.385372416547 3.5987247277130873e-26
2327.2024789604097 3.49285552961188e-26
2465.811075822604 3.627047783965438e-26
2612.675225563329 4.0571896873091584e-26
2768.2866303920664 4.5383433412645224e-26
2933.166278390045 5.076558374291896e-26
3107.866187782014 5.678601857481427e-26
3292.9712550971512 6.352043388113194e-26
3489.1012134067737 7.105350263518595e-26
3696.9127071950284 7.947993941880131e-26
3917.1014908092607 8.890569128520477e-26
4150.404757850477 9.944926984972461e-26
4397.603609302721 1.1261460817959149e-25
4659.525668664682 1.276513838255725e-25
4937.047852839004 1.4469593293436206e-25
5231.099308056264 1.6401634185458077e-25
5542.664520663107 1.859164929505094e-25
5872.7866131894825 2.1074084423650192e-25
6222.570836730231 2.3887984720826013e-25
6593.188271333548 2.7077608808571835e-25
6985.879746785249 3.0693124906046663e-25
7401.959996915644 3.4367902222678624e-25
7842.822061337682 3.7695174439630913e-25
8309.941949353395 4.134457107179953e-25
8804.883581643464 4.534727806734702e-25
9329.304026284686 4.973750059097633e-25
9884.959046625587 5.455275532444059e-25
10473.708979594508 5.983419106564889e-25
11097.524964120721 6.562694036604584e-25
11758.495540521582 7.198050521119483e-25
12458.833642950081 7.894918004038876e-25
13200.884008314195 8.728717696910979e-25
13987.131026472387 9.667518215681482e-25
14820.2070579886 1.0707289626700723e-24
15702.901247293774 1.1858891660952558e-24
16638.168860761307 1.3134352046993705e-24
17629.14118095948 1.454699213269572e-24
18679.135990207847 1.6111566017993806e-24
19791.668678535574 1.7844414651791484e-24
20970.46401323235 1.97636365024635e-24
22219.468609395237 2.1813920994898652e-24
23542.8641432242 2.385118467530739e-24
24945.081352303165 2.6078714163705394e-24
26430.814869741083 2.8514278921178298e-24
28005.03894183631 3.117730794896042e-24
29673.024081888725 3.408904477757477e-24
31440.354715915 3.727271693084861e-24
33312.94787934677 4.0753721216649934e-24
35297.0730273065 4.45598263224488e-24
37399.373024788016 4.87213943318529e-24
39626.88638701478 5.85901153617995e-23
41987.07084443914 6.126552824828358e-23
44487.82831127585 6.407287868599391e-23
47137.53134116729 6.700886943262598e-23
49945.0511585514 7.012086882516481e-23
52919.78735958447 7.351046618125857e-23
56071.69938205458 7.706391447686541e-23
59411.339849650394 8.077648565697146e-23
62949.88990221888 8.460938011049292e-23
66699.19663030129 8.862414778828688e-23
70671.81273927492 9.279997574575624e-23
74881.03857590031 9.695317936754174e-23
79340.96665797492 1.0129225696381192e-22
84066.52885618334 1.0583707783766636e-22
89073.5463861044 1.1077003140454603e-22
94378.7827777539 1.1593290468756069e-22
100000.0 1.2133641400000026e-22
