m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.606958079810601e-27
6.747544053110695 1.64029356712932e-27
7.149428986597578 1.664694917236297e-27
7.575250258771915 1.6977055153731086e-27
8.026433522257175 1.7442295733472922e-27
8.50448934180268 1.791636964686275e-27
9.011018251665021 1.842572602629428e-27
9.54771611420806 1.905446727596258e-27
10.116379797662075 1.9669657273861452e-27
10.71891319205128 2.03953142396294e-27
11.357333583431057 2.0994450154671454e-27
12.033778407775898 2.175358750713378e-27
12.750512407130135 2.2570488125992245e-27
13.509935211980272 2.327971182824573e-27
14.314589375234792 2.415720798819467e-27
15.167168884709232 2.4974563173340023e-27
16.070528182616393 2.602195312557491e-27
17.027691722259004 2.69976281284704e-27
18.041864093920726 2.8021142554969477e-27
19.116440753857027 2.911769262727546e-27
20.255019392306675 3.019579132227059e-27
21.461411978584046 3.127715330879872e-27
22.739657523579286 3.253721262550693e-27
24.094035602395255 3.379679807411929e-27
25.52908068239518 3.5045688673882175e-27
27.049597304631355 3.649545362221725e-27
28.660676169482517 3.796693444468212e-27
30.36771118035459 3.959058729006373e-27
32.17641750250737 4.136459225148053e-27
34.09285069746813 4.3131102358226494e-27
36.12342699709432 4.5076077784277005e-27
38.27494478516313 4.699761582625108e-27
40.5546073584083 4.920366174525298e-27
42.97004704320842 5.138867237037042e-27
45.5293507486695 5.361516218320967e-27
48.241087041653714 5.626749298537302e-27
51.11433483440168 5.881215433514387e-27
54.158713780794734 6.1469488552916286e-27
57.384416483023955 6.4370900734876515e-27
60.80224261649424 6.758097516901903e-27
64.42363508721374 7.078432522262933e-27
68.26071834272389 7.444958519137177e-27
72.32633896483537 7.85438686873604e-27
76.63410868007459 8.276704835790985e-27
81.19844993184013 8.766555222710426e-27
86.03464416684504 9.289802972435792e-27
91.15888299750823 9.826208734336121e-27
96.58832241158703 1.0365736120645577e-26
102.34114021054538 1.1052197787313896e-26
108.43659686896109 1.1773433676390866e-26
114.89510001873097 1.2520962441502692e-26
121.7382727739662 1.3473201038159608e-26
128.98902612533095 1.4521245133546297e-26
136.67163564620074 1.5214068268975903e-26
144.81182276745344 1.621608004508365e-26
153.43684089300132 1.7177300191022857e-26
162.5755666443795 1.814961943915717e-26
172.25859653987874 1.9397863839787044e-26
182.51834943190443 2.0447137082818913e-26
193.38917504552322 2.1476578245661363e-26
204.90746898158483 2.289902901489218e-26
217.11179456945052 2.4580674563559076e-26
230.0430119772919 2.635552113743442e-26
243.74441501222216 2.80615502033101e-26
258.2618760682677 2.9678997578607086e-26
273.6439997074672 9.443476702224476e-27
289.9422853882878 9.388815746115081e-27
307.21129988617594 9.334471179849848e-27
325.508859983506 9.2804411720937e-27
344.896226040576 9.226723902111539e-27
365.4383070957258 9.173317559707154e-27
387.20387818125573 9.120220345162092e-27
410.26581058271944 9.067430469175263e-27
434.7013158125026 9.014946152802266e-27
460.5922041145108 8.964436810553936e-27
488.02515836544336 8.925145909029511e-27
517.092024289676 8.886027218540289e-27
547.8901179593945 8.847079984289501e-27
580.5225516094902 8.808303454788883e-27
615.0985788580505 8.769696881843672e-27
651.7339604882427 8.731259520538681e-27
690.5513520162331 8.692990629223412e-27
731.68071434272 8.654889469498252e-27
775.2597488629465 8.616955306199728e-27
821.434358491943 9.02672877933652e-27
870.3591361485165 9.810677100289571e-27
922.1978823334332 1.0662709329040015e-26
977.1241535346502 1.1588738378948585e-26
1035.3218432956626 1.2595190684786878e-26
1096.985797892384 1.3689050800759912e-26
1162.322468679853 1.4877909871751582e-26
1231.550603292826 1.6170018314175254e-26
1304.9019780144029 1.7574343072020643e-26
1382.6221737646563 1.9105571081078528e-26
1464.9713983072863 2.095755356334038e-26
1552.225357427048 2.2989056411680085e-26
1644.6761779946644 2.521748128196968e-26
1742.6333860096508 2.7661916644973435e-26
1846.4249428955445 3.0343301296333584e-26
1956.3983435170649 3.328460371625742e-26
2072.921779595372 3.651101881528474e-26
2196.385372416547 4.005018375144341e-26
2327.2024789604097 4.393241466745581e-26
2465.811075822604 4.916820307163286e-26
2612.675225563329 5.625763838388424e-26
2768.2866303920664 6.436928093387818e-26
2933.166278390045 7.365052012441813e-26
3107.866187782014 8.426999705293342e-26
3292.9712550971512 9.642066873804662e-26
3489.1012134067737 1.1032331416900844e-25
3696.9127071950284 1.262305458832708e-25
3917.1014908092607 1.4443139996300704e-25
4150.404757850477 1.6160243595723056e-25
4397.603609302721 1.6160243595723056e-25
4659.525668664682 1.6160243595723056e-25
4937.047852839004 1.6182234139213197e-25
5231.099308056264 1.6454805585823034e-25
5542.664520663107 1.6754733730135305e-25
5872.7866131894825 1.711658799044187e-25
6222.570836730231 1.745850507387803e-25
6593.188271333548 1.787927106606824e-25
6985.879746785249 1.8286866551358038e-25
7401.959996915644 1.8572254935777838e-25
7842.822061337682 1.8518517017239892e-25
8309.941949353395 1.8592200280774243e-25
8804.883581643464 1.9109770754714813e-25
9329.304026284686 1.963047815878132e-25
9884.959046625587 2.0161904946267272e-25
10473.708979594508 2.0707623883992294e-25
11097.524964120721 2.1292758444042543e-25
11758.495540521582 2.1936236586842225e-25
12458.833642950081 2.2643084054946703e-25
13200.884008314195 2.3352510893376206e-25
13987.131026472387 2.4201984709711233e-25
14820.2070579886 2.509051195536304e-25
15702.901247293774 2.6017613334728825e-25
16638.168860761307 2.7019170813341277e-25
17629.14118095948 2.807702202189555e-25
18679.135990207847 2.914918482833706e-25
19791.668678535574 3.0264210083927774e-25
20970.46401323235 3.1387796148347137e-25
22219.468609395237 3.2508004200134403e-25
23542.8641432242 3.3766234292039103e-25
24945.081352303165 3.5042754313277993e-25
26430.814869741083 3.6411437566416433e-25
28005.03894183631 3.805563076256157e-25
29673.024081888725 3.993344064678784e-25
31440.354715915 4.191632346804218e-25
33312.94787934677 4.402515529226092e-25
35297.0730273065 4.629334899460613e-25
37399.373024788016 4.867991275220203e-25
39626.88638701478 5.116140390668904e-25
41987.07084443914 5.379331817191378e-25
44487.82831127585 5.653691445998961e-25
47137.53134116729 5.947500478266653e-25
49945.0511585514 6.257580203499683e-25
52919.78735958447 6.587591297561934e-25
56071.69938205458 6.935975795930227e-25
59411.339849650394 7.306404754148949e-25
62949.88990221888 7.70119309228654e-25
66699.19663030129 8.114281480925417e-25
70671.81273927492 8.553243231526096e-25
74881.03857590031 9.025630355498426e-25
79340.96665797492 9.521093918743749e-25
84066.52885618334 1.004367983556996e-24
89073.5463861044 1.0590426841529524e-24
94378.7827777539 1.1187770432147783e-24
100000.0 0.000101888208093854
