m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.0
6.747544053110695 1.0
7.149428986597578 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 1.0
10.71891319205128 1.0
11.357333583431057 1.0
12.033778407775898 1.0
12.750512407130135 1.0
13.509935211980272 1.0
14.314589375234792 1.0
15.167168884709232 1.0
16.070528182616393 1.0
17.027691722259004 1.0
18.041864093920726 1.0
19.116440753857027 1.0
20.255019392306675 1.0
21.461411978584046 1.0
22.739657523579286 1.0
24.094035602395255 1.0
25.52908068239518 1.0
27.049597304631355 1.0
28.660676169482517 1.0
30.36771118035459 1.0
32.17641750250737 1.0
34.09285069746813 1.0
36.12342699709432 1.0
38.27494478516313 1.0
40.5546073584083 1.0
42.97004704320842 1.0
45.5293507486695 1.0
48.241087041653714 1.0
51.11433483440168 1.0
54.158713780794734 1.0
57.384416483023955 1.0
60.80224261649424 1.0
64.42363508721374 1.0
68.26071834272389 1.0
72.32633896483537 1.0
76.63410868007459 1.0
81.19844993184013 1.0
86.03464416684504 1.0
91.15888299750823 1.0
96.58832241158703 1.0
102.34114021054538 1.1446779833136734e-22
108.43659686896109 8.979286178957492e-23
114.89510001873097 7.043691016945406e-23
121.7382727739662 5.615354714480933e-23
128.98902612533095 4.62031838472918e-23
136.67163564620074 3.8016016906671226e-23
144.81182276745344 3.1638134993367833e-23
153.43684089300132 2.712557626460066e-23
162.5755666443795 2.3256645432510922e-23
172.25859653987874 2.007270570457566e-23
182.51834943190443 1.774987673131542e-23
193.38917504552322 1.5695847316939904e-23
204.90746898158483 1.3934005359438307e-23
217.11179456945052 1.2639415510299758e-23
230.0430119772919 1.1465104276983508e-23
243.74441501222216 1.0424022186691533e-23
258.2618760682677 9.69589562606627e-24
273.6439997074672 3.93936465162912e-27
289.9422853882878 4.184338277953699e-27
307.21129988617594 4.444545852618096e-27
325.508859983506 4.720934715078845e-27
344.896226040576 5.014511116115035e-27
365.4383070957258 5.326343881292436e-27
387.20387818125573 5.657568302243754e-27
410.26581058271944 6.0093902699325e-27
434.7013158125026 6.383090664948282e-27
460.5922041145108 6.807574038044483e-27
488.02515836544336 7.456448822798689e-27
517.092024289676 8.16717214330687e-27
547.8901179593945 8.945639191468646e-27
580.5225516094902 9.798307068808459e-27
615.0985788580505 1.0732248345788687e-26
651.7339604882427 1.1755209726213533e-26
690.5513520162331 1.2875676303324618e-26
731.68071434272 1.4102941940568358e-26
775.2597488629465 1.544718636081943e-26
821.434358491943 1.606305643226387e-26
870.3591361485165 1.6086805210208674e-26
922.1978823334332 1.6110589100054892e-26
977.1241535346502 1.6134408153714486e-26
1035.3218432956626 1.6158262423176165e-26
1096.985797892384 1.6182151960505506e-26
1162.322468679853 1.6206076817844944e-26
1231.550603292826 1.6230037047414354e-26
1304.9019780144029 1.6254032701510467e-26
1382.6221737646563 1.630882735424935e-26
1464.9713983072863 1.7472282502304945e-26
1552.225357427048 1.871873735672399e-26
1644.6761779946644 2.005411303210045e-26
1742.6333860096508 2.148475304931829e-26
1846.4249428955445 2.3017453469585901e-26
1956.3983435170649 2.4659495178203427e-26
2072.921779595372 2.641867847141883e-26
2196.385372416547 2.830336011067758e-26
2327.2024789604097 3.0322493020283074e-26
2465.811075822604 3.251432036431385e-26
2612.675225563329 3.489843348822435e-26
2768.2866303920664 3.7457361749708797e-26
2933.166278390045 4.020392347186515e-26
3107.866187782014 4.315187688156269e-26
3292.9712550971512 4.6315989027902656e-26
3489.1012134067737 4.971210975412652e-26
3696.9127071950284 5.335725109351571e-26
3917.1014908092607 5.72696724869972e-26
4150.404757850477 6.146897224933093e-26
4397.603609302721 6.658061751778887e-26
4659.525668664682 7.217145328724357e-26
4937.047852839004 7.823175668506063e-26
5231.099308056264 8.480094934034436e-26
5542.664520663107 9.192176315269747e-26
5872.7866131894825 9.964051825868742e-26
6222.570836730231 1.0800742433940733e-25
6593.188271333548 1.1707690722910928e-25
6985.879746785249 1.269079629494734e-25
7401.959996915644 1.4530108245377126e-25
7842.822061337682 1.824583538648638e-25
8309.941949353395 2.291177074036436e-25
8804.883581643464 2.8770907296895577e-25
9329.304026284686 3.6128377682667104e-25
9884.959046625587 4.536734488461088e-25
10473.708979594508 5.696895664558666e-25
11097.524964120721 7.153740271865866e-25
11758.495540521582 8.983137991396021e-25
12458.833642950081 1.128036035775922e-24
13200.884008314195 1.1667142893015693e-24
13987.131026472387 1.1564088862774014e-24
14820.2070579886 1.146194509250313e-24
15702.901247293774 1.1360703542020502e-24
16638.168860761307 1.1260356242161175e-24
17629.14118095948 1.1160895294150808e-24
18679.135990207847 1.1062312868983448e-24
19791.668678535574 1.0964601206805592e-24
20970.46401323235 1.086775261630522e-24
22219.468609395237 1.110327882203892e-24
23542.8641432242 1.232309468064804e-24
24945.081352303165 1.367692056933592e-24
26430.814869741083 1.5179478946443272e-24
28005.03894183631 1.6847109692375904e-24
29673.024081888725 1.869794780099811e-24
31440.354715915 2.075212059235679e-24
33312.94787934677 2.3031966591367656e-24
35297.0730273065 2.5562278452701655e-24
37399.373024788016 2.837057257361447e-24
39626.88638701478 4.361356469815796e-23
41987.07084443914 4.565213913248442e-23
44487.82831127585 4.7819357943230593e-23
47137.53134116729 5.0089459936734576e-23
49945.0511585514 5.245265192608982e-23
52919.78735958447 5.488029477938773e-23
56071.69938205458 5.74202951514527e-23
59411.339849650394 6.008795012979684e-23
62949.88990221888 6.292622774125539e-23
66699.19663030129 6.58985724956658e-23
70671.81273927492 6.900654440872794e-23
74881.03857590031 7.222549821526872e-23
79340.96665797492 7.559460681795802e-23
84066.52885618334 1.0
89073.5463861044 1.0
94378.7827777539 1.0
100000.0 1.0
