m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108137 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 2.67738111505611e-28
5.672426068491979 2.558357732615245e-28
6.010276782070384 2.444422747644664e-28
6.368249944718588 2.293774341158397e-28
6.747544053110695 2.0309209849531696e-28
7.149428986597579 1.7890217573122443e-28
7.575250258771915 1.5788728430628616e-28
8.026433522257175 1.378059032045103e-28
8.50448934180268 1.1749631777906885e-28
9.011018251665021 9.986668154044782e-29
9.54771611420806 8.500903259643944e-29
10.116379797662075 7.417359908025203e-29
10.71891319205128 7.026449678855991e-29
11.357333583431057 6.675829886687297e-29
12.033778407775898 6.360000721960105e-29
12.750512407130135 6.36886876566031e-29
13.509935211980272 7.488882347562307e-29
14.314589375234792 8.834552692039668e-29
15.167168884709232 1.0343442700129699e-28
16.070528182616393 1.1906879923848143e-28
17.027691722259004 1.2317551186008054e-28
18.041864093920726 1.273398562131934e-28
19.116440753857027 1.3132117211652552e-28
20.255019392306675 1.3510937947812442e-28
21.461411978584046 1.3814080277450883e-28
22.739657523579286 1.4123191081385912e-28
24.094035602395255 1.4402195921275387e-28
25.52908068239518 1.516980100061783e-28
27.049597304631355 1.8269074074848878e-28
28.660676169482517 2.2068181755860198e-28
30.36771118035459 2.6647032087213863e-28
32.17641750250737 3.2298546442886256e-28
34.09285069746813 3.7174541984667365e-28
36.12342699709432 4.289356921707722e-28
38.27494478516313 4.9189757247656885e-28
40.5546073584083 5.618582387710827e-28
42.97004704320842 6.336629531741355e-28
45.5293507486695 7.1034743315244425e-28
48.241087041653714 8.126911655960457e-28
51.11433483440168 8.821679171961858e-28
54.158713780794734 8.85402659495598e-28
57.384416483023955 8.832021863442293e-28
60.80224261649424 8.836251784240287e-28
64.42363508721374 9.363803140143993e-28
68.26071834272389 1.083356998679448e-27
72.32633896483537 1.2602269861109467e-27
76.63410868007459 1.467527105313744e-27
81.19844993184013 1.704514488109187e-27
86.03464416684504 2.1004412085386633e-27
91.15888299750823 2.5874850874481815e-27
96.58832241158703 3.242473808895179e-27
102.34114021054538 3.635776791654431e-27
108.43659686896109 3.46526810517693e-27
114.89510001873097 3.3115844013861024e-27
121.7382727739662 3.168684981361119e-27
128.98902612533095 3.274288082819138e-27
136.67163564620074 3.7152804390048266e-27
144.81182276745346 4.241183960367171e-27
153.43684089300132 4.8284800121881226e-27
162.5755666443795 5.376552854079551e-27
172.25859653987874 5.810582296602788e-27
182.51834943190443 6.275569524278838e-27
193.38917504552322 6.77364755231675e-27
204.90746898158483 7.187764957399022e-27
217.11179456945052 7.477089723496058e-27
230.0430119772919 7.775384823666288e-27
243.74441501222216 8.108111287051166e-27
258.2618760682677 8.91588642215847e-27
273.6439997074672 1.0581480783052373e-26
289.9422853882878 1.2704294536459294e-26
307.21129988617594 1.526968443647042e-26
325.508859983506 1.799356299509384e-26
344.896226040576 2.0075979846817554e-26
365.4383070957258 2.2089940503279914e-26
387.20387818125573 2.4539930321094074e-26
410.26581058271944 2.722089988412847e-26
434.7013158125026 3.017141608435976e-26
460.5922041145108 3.3435918110934505e-26
488.02515836544336 3.7110657217561764e-26
517.092024289676 4.155340864263096e-26
547.8901179593945 4.6835544315650665e-26
580.5225516094902 5.281407149078494e-26
615.0985788580505 5.959917027556064e-26
651.7339604882427 6.709020041797624e-26
690.5513520162331 7.54633568493079e-26
731.68071434272 8.495956007120743e-26
775.2597488629465 9.536606757133778e-26
821.434358491943 1.038737836959705e-25
870.3591361485165 1.1071020216757458e-25
922.1978823334332 1.180294405242326e-25
977.1241535346502 1.2576300655019882e-25
1035.3218432956626 1.3934205027784062e-25
1096.985797892384 1.5778488713285301e-25
1162.322468679853 1.7880601068870582e-25
1231.550603292826 2.0231808548188466e-25
1304.9019780144029 2.2276685552826993e-25
1382.6221737646563 2.419849734141668e-25
1464.9713983072863 2.642320402841061e-25
1552.225357427048 2.857610326997046e-25
1644.6761779946644 3.096678672264097e-25
1742.6333860096508 3.3519093015099136e-25
1846.4249428955445 3.6249706446954013e-25
1956.3983435170649 6.688223430133333e-24
2072.921779595372 6.99196449153181e-24
2196.385372416547 7.301313566268055e-24
2327.2024789604097 7.62434933094045e-24
2465.811075822604 7.961677332798712e-24
2612.675225563329 8.479398374007406e-24
2768.2866303920664 9.046630447923793e-24
2933.1662783900456 9.651807693359162e-24
3107.866187782014 1.0318607298439634e-23
3292.9712550971512 1.1076153138434048e-23
3489.1012134067737 1.1889314594285896e-23
3696.9127071950284 1.276217471491953e-23
3917.1014908092607 1.368617897061691e-23
4150.404757850477 1.4643540717558435e-23
4397.603609302721 1.5667870864991776e-23
4659.525668664682 1.6763853918725483e-23
4937.047852839004 1.80202509233296e-23
5231.099308056264 1.9399595593156524e-23
5542.664520663107 2.0884521019115805e-23
5872.7866131894825 2.248310878973954e-23
6222.570836730231 2.4236837360147876e-23
6593.188271333548 2.6131370123491586e-23
6985.879746785249 2.817399375933831e-23
7401.959996915644 3.034633030559437e-23
7842.822061337682 3.251966226723629e-23
8309.941949353395 3.4848643092115664e-23
8804.883581643464 3.73444199814216e-23
9329.304026284686 4.008542944527998e-23
9884.959046625587 4.313504907604616e-23
10473.708979594508 4.641667769414369e-23
11097.524964120721 4.9947966081217746e-23
11758.495540521582 5.336742498764023e-23
12458.833642950081 5.666135810236807e-23
13200.884008314195 6.015859867228716e-23
13987.131026472387 6.387169519789592e-23
14820.2070579886 6.774600020204359e-23
15702.901247293776 7.058482537523539e-23
16638.168860761307 7.354260854358429e-23
17629.14118095948 7.667653454147359e-23
18679.135990207847 7.997804297971384e-23
19791.668678535574 8.34217064857718e-23
20970.46401323235 8.718925051541676e-23
22219.468609395237 9.127506401829898e-23
23542.864143224204 9.555234461008941e-23
24945.081352303165 1.0056506498450427e-22
26430.814869741083 1.0642457182515118e-22
28005.03894183631 1.1262548768711975e-22
29673.024081888725 1.1912597393135003e-22
31440.354715915 1.2591542380401491e-22
33312.94787934677 1.3309183067734193e-22
35297.0730273065 1.4091489955071847e-22
37399.373024788016 1.4962863857223442e-22
39626.88638701478 1.5888120810760786e-22
41987.07084443914 1.6919851081210089e-22
44487.82831127585 1.81371679693176e-22
47137.53134116729 1.9442066030507501e-22
49945.0511585514 2.0858894307523162e-22
52919.78735958447 2.24383770731007e-22
56071.69938205458 2.413746185448849e-22
59411.3398496504 2.6000867701591705e-22
62949.88990221888 2.8178429245900764e-22
66699.19663030129 3.053836063777315e-22
70671.81273927492 3.3098721571513424e-22
74881.03857590031 3.589526941460295e-22
79340.96665797492 3.8928100699087375e-22
84066.52885618334 4.222413643724019e-22
89073.5463861044 4.591448107031824e-22
94378.7827777539 4.992735790085438e-22
100000.0 5.429095589999981e-22
