m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.0
6.747544053110695 1.0
7.149428986597578 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 1.0
10.71891319205128 1.0
11.357333583431057 1.0
12.033778407775898 1.0
12.750512407130135 1.0
13.509935211980272 1.0
14.314589375234792 1.0
15.167168884709232 1.0
16.070528182616393 1.0
17.027691722259004 1.0
18.041864093920726 1.0
19.116440753857027 1.0
20.255019392306675 1.0
21.461411978584046 1.0
22.739657523579286 1.0
24.094035602395255 1.0
25.52908068239518 1.0
27.049597304631355 1.0
28.660676169482517 1.0
30.36771118035459 1.0
32.17641750250737 1.0
34.09285069746813 1.0
36.12342699709432 1.0
38.27494478516313 1.0
40.5546073584083 1.0
42.97004704320842 1.0
45.5293507486695 1.0
48.241087041653714 1.0
51.11433483440168 1.0
54.158713780794734 1.0
57.384416483023955 1.0
60.80224261649424 1.0
64.42363508721374 1.0
68.26071834272389 1.0
72.32633896483537 1.0
76.63410868007459 1.0
81.19844993184013 1.0
86.03464416684504 1.0
91.15888299750823 1.0
96.58832241158703 1.0
102.34114021054538 1.0
108.43659686896109 1.0
114.89510001873097 1.0
121.7382727739662 1.0
128.98902612533095 1.0
136.67163564620074 2.533881453431932e-25
144.81182276745344 2.606122248789414e-25
153.43684089300132 2.612612945827256e-25
162.5755666443795 2.54079707058206e-25
172.25859653987874 2.655734468191296e-25
182.51834943190443 2.7265429105622026e-25
193.38917504552322 2.478112917655915e-25
204.90746898158483 2.2852047230884806e-25
217.11179456945052 2.0879094640718957e-25
230.0430119772919 1.8641729095121597e-25
243.74441501222216 1.6898947780103034e-25
258.2618760682677 1.5630541248307974e-25
273.6439997074672 8.079781451870576e-26
289.9422853882878 7.156756179291952e-26
307.21129988617594 6.339176290217016e-26
325.508859983506 5.614995820973359e-26
344.896226040576 4.9735449254195083e-26
365.4383070957258 4.4053726688042235e-26
387.20387818125573 3.9021077806812574e-26
410.26581058271944 3.4563353152563626e-26
434.7013158125026 3.061487401919668e-26
460.5922041145108 2.7471260640149095e-26
488.02515836544336 2.684373616225859e-26
517.092024289676 2.6230546191091495e-26
547.8901179593945 2.5631363284308699e-26
580.5225516094902 2.5045867479318036e-26
615.0985788580505 2.447374612241502e-26
651.7339604882427 2.3914693701826512e-26
690.5513520162331 2.336841168456729e-26
731.68071434272 2.283460835702501e-26
775.2597488629465 2.231299866918497e-26
821.434358491943 2.2779962640814914e-26
870.3591361485165 2.4006504250134687e-26
922.1978823334332 2.5299086543678296e-26
977.1241535346502 2.666126535024079e-26
1035.3218432956626 2.8096787955119653e-26
1096.985797892384 2.960960340870795e-26
1162.322468679853 3.1203873390133076e-26
1231.550603292826 3.2883983655826435e-26
1304.9019780144029 3.4654556104518545e-26
1382.6221737646563 3.642258260673948e-26
1464.9713983072863 3.487554013135481e-26
1552.225357427048 3.3394207999645814e-26
1644.6761779946644 3.197579517688999e-26
1742.6333860096508 3.061762917704967e-26
1846.4249428955445 2.931715102743849e-26
1956.3983435170649 2.8071910447262763e-26
2072.921779595372 2.687956123095337e-26
2196.385372416547 2.57378568275898e-26
2327.2024789604097 2.464464610808736e-26
2465.811075822604 2.55974965086074e-26
2612.675225563329 2.907764661660891e-26
2768.2866303920664 3.303094630664695e-26
2933.166278390045 3.752172341517482e-26
3107.866187782014 4.262305157638082e-26
3292.9712550971512 4.841793927162967e-26
3489.1012134067737 5.500068053809386e-26
3696.9127071950284 6.247838931521788e-26
3917.1014908092607 7.097274239580143e-26
4150.404757850477 8.062195934289124e-26
4397.603609302721 8.628874115538632e-26
4659.525668664682 9.190260559679734e-26
4937.047852839004 9.788170278519892e-26
5231.099308056264 1.0424979442001692e-25
5542.664520663107 1.110321881145197e-25
5872.7866131894825 1.182558379715237e-25
6222.570836730231 1.2594945170245202e-25
6593.188271333548 1.3414360471546623e-25
6985.879746785249 1.428708616260608e-25
7401.959996915644 1.5810341705927582e-25
7842.822061337682 1.8663919558867672e-25
8309.941949353395 2.2032534133609745e-25
8804.883581643464 2.6009143407288106e-25
9329.304026284686 3.0703483161700715e-25
9884.959046625587 3.6245095176670363e-25
10473.708979594508 4.278690197614516e-25
11097.524964120721 5.050942677326987e-25
11758.495540521582 5.9625775065152185e-25
12458.833642950081 7.038751534597779e-25
13200.884008314195 8.054978665082329e-25
13987.131026472387 9.155273260168194e-25
14820.2070579886 1.0405865980961559e-24
15702.901247293774 1.1827287262394858e-24
16638.168860761307 1.3442871957330698e-24
17629.14118095948 1.527914241465675e-24
18679.135990207847 1.7366243885113865e-24
19791.668678535574 1.973843940272154e-24
20970.46401323235 2.243467226605494e-24
22219.468609395237 2.5081454056919325e-24
23542.8641432242 2.680348156364017e-24
24945.081352303165 2.864373900739611e-24
26430.814869741083 3.0610343748657353e-24
28005.03894183631 3.271197046478551e-24
29673.024081888725 3.495788941396438e-24
31440.354715915 3.735800732623264e-24
33312.94787934677 3.9922911101988695e-24
35297.0730273065 4.266391451072138e-24
37399.373024788016 4.559310809595424e-24
39626.88638701478 2.67335591261264e-23
41987.07084443914 2.963084963878198e-23
44487.82831127585 3.28360977241508e-23
47137.53134116729 3.629798828219511e-23
49945.0511585514 4.0070572599652374e-23
52919.78735958447 4.4306532387817276e-23
56071.69938205458 4.899763845010314e-23
59411.339849650394 5.44858424867321e-23
62949.88990221888 6.013266526987063e-23
66699.19663030129 6.646942992842949e-23
70671.81273927492 7.38067180225203e-23
74881.03857590031 8.142162100801498e-23
79340.96665797492 8.890475471451024e-23
84066.52885618334 1.0
89073.5463861044 1.0
94378.7827777539 1.0
100000.0 1.0
