m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.2999044600705277e-23
1.1226677735108137 1.2824186842098637e-23
1.1895340673703196 1.2628531117876931e-23
1.2603829296797275 1.2451171759325112e-23
1.3354515629298989 1.2299528271692913e-23
1.414991297434576 1.2154377914039963e-23
1.4992684327860457 1.2028502368512439e-23
1.5885651294280527 1.186432282376556e-23
1.6831803533309568 1.1703342100937485e-23
1.7834308769319096 1.1544827310819083e-23
1.88965233969121 1.1394052259644417e-23
2.0022003718155847 1.1265629202182836e-23
2.1214517849106302 1.1127469058673727e-23
2.2478058335487257 1.0958004563000516e-23
2.3816855519761586 1.0783347626592604e-23
2.5235391704347663 1.0656992003809557e-23
2.673841615839947 1.049974626590631e-23
2.8330961018393244 1.0384420944678033e-23
3.0018358135755894 1.0213284283014811e-23
3.18062569279412 1.0081134947598516e-23
3.370064329271929 9.947406332335073e-24
3.5707859649004634 9.812512216415437e-24
3.78346261713193 9.667558304286575e-24
4.008806328898466 9.524727737196439e-24
4.2475715525368996 9.423037274143148e-24
4.500557675700499 9.299262805283142e-24
4.768611697714471 9.173587644596406e-24
5.052631065335681 6.156282948191026e-27
5.353566677410726 9.562302227306359e-28
5.672426068491979 1.2120599352313115e-27
6.010276782070384 1.5105175402460527e-27
6.368249944718588 1.8514877766365847e-27
6.747544053110695 2.2257658512006916e-27
7.149428986597579 2.630531490554204e-27
7.575250258771915 3.075997117821318e-27
8.026433522257175 3.4844524664375455e-27
8.50448934180268 3.548228147536501e-27
9.011018251665021 3.48867221133768e-27
9.54771611420806 3.431838204755774e-27
10.116379797662075 3.250205053343802e-27
10.71891319205128 2.5941198508346935e-27
11.357333583431057 2.0659192421493365e-27
12.033778407775898 1.695368902697212e-27
12.750512407130135 1.4087902655594788e-27
13.509935211980272 1.2345591117281152e-27
14.314589375234792 1.0958597855931612e-27
15.167168884709232 9.686851135038513e-28
16.070528182616393 8.747518561348246e-28
17.027691722259004 8.170777216769402e-28
18.041864093920726 7.716094180822152e-28
19.116440753857027 7.316614414048375e-28
20.255019392306675 7.00037223556396e-28
21.461411978584046 6.95624165216086e-28
22.739657523579286 6.952242839589781e-28
24.094035602395255 6.9528338669375135e-28
25.52908068239518 7.410894888062326e-28
27.049597304631355 8.477896580221082e-28
28.660676169482517 9.753497967056692e-28
30.36771118035459 1.1495569013676939e-27
32.17641750250737 1.3328949370663476e-27
34.09285069746813 1.4550266658028279e-27
36.12342699709432 1.575544575748295e-27
38.27494478516313 1.692830258575279e-27
40.5546073584083 1.8252096756406447e-27
42.97004704320842 1.8634749058013047e-27
45.5293507486695 1.898654269566496e-27
48.241087041653714 1.9386637638144836e-27
51.11433483440168 2.1597518769674858e-27
54.158713780794734 2.8286193733607824e-27
57.384416483023955 3.7086186440089716e-27
60.80224261649424 4.9722558909191295e-27
64.42363508721374 5.8699504588198605e-27
68.26071834272389 5.919773257844994e-27
72.32633896483537 5.91085628236577e-27
76.63410868007459 5.928063362072492e-27
81.19844993184013 6.2214522526993615e-27
86.03464416684504 7.081000205626049e-27
91.15888299750823 8.121945296091705e-27
96.58832241158703 9.376110936563459e-27
102.34114021054538 1.0508101433729507e-26
108.43659686896109 1.1634512752314185e-26
114.89510001873097 1.2876036937226859e-26
121.7382727739662 1.4521652424258264e-26
128.98902612533095 1.6007493716483335e-26
136.67163564620074 1.7669760540497828e-26
144.81182276745346 1.9409219471764882e-26
153.43684089300132 2.1849081648957223e-26
162.5755666443795 2.337319863711091e-26
172.25859653987874 2.653928059320043e-26
182.51834943190443 2.946245370344111e-26
193.38917504552322 3.2978993636719405e-26
204.90746898158483 3.6811295774451514e-26
217.11179456945052 4.3495784593400627e-26
230.0430119772919 5.2517217747758e-26
243.74441501222216 6.108473183924432e-26
258.2618760682677 7.11668628916138e-26
273.6439997074672 7.954255143566831e-26
289.9422853882878 8.948182016639885e-26
307.21129988617594 9.963081474657215e-26
325.508859983506 1.0973837120315164e-25
344.896226040576 1.1756202130048785e-25
365.4383070957258 1.2966158769573528e-25
387.20387818125573 1.406401288796009e-25
410.26581058271944 1.5366594620529357e-25
434.7013158125026 1.6655284288018088e-25
460.5922041145108 1.8650513709433951e-25
488.02515836544336 2.0534411906135511e-25
517.092024289676 2.1783769467484656e-25
547.8901179593945 2.2559546293413366e-25
580.5225516094902 2.351285651626027e-25
615.0985788580505 2.448079049186113e-25
651.7339604882427 2.62926160134612e-25
690.5513520162331 2.8948020122350817e-25
731.68071434272 3.1831696564362096e-25
775.2597488629465 3.5332447639071443e-25
821.434358491943 3.837782707752821e-25
870.3591361485165 4.159029869504842e-25
922.1978823334332 4.4817588233939065e-25
977.1241535346502 4.871288533588038e-25
1035.3218432956626 5.113022956175066e-25
1096.985797892384 5.23653592372192e-25
1162.322468679853 5.373998826574056e-25
1231.550603292826 5.502417985570106e-25
1304.9019780144029 6.56874170880388e-25
