m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108137 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070384 1.0
6.368249944718588 1.0
6.747544053110695 1.0
7.149428986597579 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 9.16930452800292e-24
10.71891319205128 7.306417390991969e-24
11.357333583431057 5.822004812726678e-24
12.033778407775898 4.6391737873068485e-24
12.750512407130135 3.696653321513726e-24
13.509935211980272 2.945620579433275e-24
14.314589375234792 2.3471718452699766e-24
15.167168884709232 1.8703072994852775e-24
16.070528182616393 1.537599890708479e-24
17.027691722259004 1.5580224633812273e-24
18.041864093920726 1.5787162909344401e-24
19.116440753857027 1.5996849762056044e-24
20.255019392306675 1.6209321698854843e-24
21.461411978584046 1.6424615711537237e-24
22.739657523579286 1.6642769283228825e-24
24.094035602395255 1.6863820394910246e-24
25.52908068239518 1.695507402480453e-24
27.049597304631355 1.674581910987944e-24
28.660676169482517 1.653914676223517e-24
30.36771118035459 1.6335025108528325e-24
32.17641750250737 1.6133422668787653e-24
34.09285069746813 1.593430835155915e-24
36.12342699709432 1.5737651449111088e-24
38.27494478516313 1.5543421632698216e-24
40.5546073584083 1.5351588947884411e-24
42.97004704320842 1.4592894526271037e-24
45.5293507486695 1.3866260174873044e-24
48.241087041653714 1.3175807643310797e-24
51.11433483440168 1.2519735304556742e-24
54.158713780794734 1.189633124127624e-24
57.384416483023955 1.1303968778849167e-24
60.80224261649424 1.0741102240818953e-24
64.42363508721374 1.0020646328181983e-24
68.26071834272389 9.103749012623666e-25
72.32633896483537 8.270748549598129e-25
76.63410868007459 7.513968308641335e-25
81.19844993184013 6.8264340772408165e-25
86.03464416684504 6.20180978901953e-25
91.15888299750823 5.634339132844144e-25
96.58832241158703 5.118792504746864e-25
102.34114021054538 4.879897482562987e-25
108.43659686896109 5.110542599563919e-25
114.89510001873097 5.352089005001025e-25
121.7382727739662 5.605051941039944e-25
128.98902612533095 5.869971002425324e-25
136.67163564620074 6.147411287489549e-25
144.81182276745346 6.437964603562738e-25
153.43684089300132 6.742250729355838e-25
162.5755666443795 7.254847512869332e-25
172.25859653987874 8.009512897942163e-25
182.51834943190443 8.842680255994697e-25
193.38917504552322 9.762515536974621e-25
204.90746898158483 1.0778034131117558e-24
217.11179456945052 1.1899189229616795e-24
230.0430119772919 1.3136969376765834e-24
243.74441501222216 1.4503506169692401e-24
258.2618760682677 1.5183788415051164e-24
273.6439997074672 1.5517380474880073e-24
289.9422853882878 1.583437579706129e-24
307.21129988617594 1.5398461911466126e-24
325.508859983506 1.4972438906615876e-24
344.896226040576 1.4559432308582316e-24
365.4383070957258 1.4174820249450839e-24
387.20387818125573 1.3898725563773562e-24
410.26581058271944 1.3564987388134334e-24
434.7013158125026 1.3275549722134391e-24
460.5922041145108 1.2977737698805557e-24
488.02515836544336 1.2728203098107208e-24
517.092024289676 1.2498977764361598e-24
547.8901179593945 1.2300640613027164e-24
580.5225516094902 1.2117731502043067e-24
615.0985788580505 1.196248911856098e-24
651.7339604882427 1.180016032405029e-24
690.5513520162331 1.1636193939983868e-24
731.68071434272 1.1447040477485063e-24
775.2597488629465 1.1260199362796761e-24
821.434358491943 1.1074336853721724e-24
870.3591361485165 1.08916704457909e-24
922.1978823334332 1.071255749894384e-24
977.1241535346502 1.0536977840228846e-24
1035.3218432956626 1.0473420339513138e-24
1096.985797892384 1.0573578832048215e-24
1162.322468679853 1.0631573018217422e-24
1231.550603292826 1.0673003841715955e-24
1304.9019780144029 1.0779217964760147e-24
1382.6221737646563 1.0830923882273999e-24
1464.9713983072863 1.0872803890135822e-24
1552.225357427048 1.1028427580830399e-24
1644.6761779946644 1.0511614997881583e-24
1742.6333860096508 9.458590893897196e-25
1846.4249428955445 8.51105579077477e-25
1956.3983435170649 7.658442096318881e-25
2072.921779595372 6.891240850076675e-25
2196.385372416547 6.200895672579684e-25
2327.2024789604097 5.579707338452641e-25
2465.811075822604 5.020747909121058e-25
2612.675225563329 5.288296725341683e-25
2768.2866303920664 6.236565809949538e-25
2933.1662783900456 7.354873435041265e-25
3107.866187782014 8.673710002254233e-25
3292.9712550971512 1.0229033288970864e-24
3489.1012134067737 1.206324882889585e-24
3696.9127071950284 1.4226366089233431e-24
3917.1014908092607 1.4529984458252308e-24
4150.404757850477 1.4795221701101733e-24
4397.603609302721 1.5028751451133277e-24
4659.525668664682 1.5271916644275921e-24
4937.047852839004 1.5525597089043821e-24
5231.099308056264 1.5811053728496882e-24
5542.664520663107 1.6094453056079507e-24
5872.7866131894825 1.6370637362360113e-24
6222.570836730231 1.6658947238010027e-24
6593.188271333548 1.696727384516248e-24
6985.879746785249 1.727026444753617e-24
7401.959996915644 1.7584081455999583e-24
7842.822061337682 1.7890816608436415e-24
8309.941949353395 1.8215601565385262e-24
8804.883581643464 1.8548866373362896e-24
9329.304026284686 1.8884848326261257e-24
9884.959046625587 1.922546537926831e-24
10473.708979594508 1.996180512665641e-24
11097.524964120721 2.0852041186181617e-24
11758.495540521582 2.1752433812427308e-24
12458.833642950081 2.2725416662315076e-24
13200.884008314195 2.369876533126828e-24
13987.131026472387 2.4763960013869887e-24
14820.2070579886 2.5843171675488098e-24
15702.901247293776 2.6966251701863396e-24
16638.168860761307 2.815808756327731e-24
17629.14118095948 2.9345542663219477e-24
18679.135990207847 3.0676352731349064e-24
19791.668678535574 3.1975402791388962e-24
20970.46401323235 3.342341224549591e-24
22219.468609395237 3.4875221091918586e-24
23542.864143224204 3.6420138649890275e-24
24945.081352303165 3.798297764191008e-24
26430.814869741083 3.967161377113256e-24
28005.03894183631 4.138172847602306e-24
29673.024081888725 4.324385877439889e-24
31440.354715915 4.549996925347181e-24
33312.94787934677 4.784705955604111e-24
35297.0730273065 5.0357697863571225e-24
37399.373024788016 5.29710934187335e-24
39626.88638701478 5.576335361547065e-24
41987.07084443914 5.871344169527243e-24
44487.82831127585 6.1756140880448326e-24
47137.53134116729 6.50544380589752e-24
49945.0511585514 6.847848095694027e-24
52919.78735958447 7.206325988504295e-24
56071.69938205458 7.589941743162977e-24
59411.3398496504 7.999101279903852e-24
62949.88990221888 8.401132381943318e-24
66699.19663030129 8.843575957940312e-24
70671.81273927492 9.307747846172636e-24
74881.03857590031 9.8046904948136e-24
79340.96665797492 1.0321020845877467e-23
84066.52885618334 1.0849445523113932e-23
89073.5463861044 1.1433811836604934e-23
94378.7827777539 1.2027591731012597e-23
100000.0 1.0
