m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.0
6.747544053110695 1.0
7.149428986597578 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 1.0
10.71891319205128 2.778421331246271e-27
11.357333583431057 2.6186601040862576e-27
12.033778407775898 2.3435177300164717e-27
12.750512407130135 2.051128601985943e-27
13.509935211980272 1.938439723309024e-27
14.314589375234792 1.9179846606437307e-27
15.167168884709232 1.9302333019240042e-27
16.070528182616393 1.979032755093737e-27
17.027691722259004 2.0495366845274465e-27
18.041864093920726 2.124992202668065e-27
19.116440753857027 2.246927068979921e-27
20.255019392306675 2.4927738997891063e-27
21.461411978584046 2.8182245904876966e-27
22.739657523579286 3.249306460993083e-27
24.094035602395255 3.798013723819549e-27
25.52908068239518 4.380852489839796e-27
27.049597304631355 4.929695763206928e-27
28.660676169482517 5.629228633677012e-27
30.36771118035459 6.3825833335256856e-27
32.17641750250737 7.43144790613973e-27
34.09285069746813 9.2472618436715e-27
36.12342699709432 1.1858066902764328e-26
38.27494478516313 1.3492961392205485e-26
40.5546073584083 1.4044096002020793e-26
42.97004704320842 1.4617742301398214e-26
45.5293507486695 1.7213416559635162e-26
48.241087041653714 2.7319348529207615e-26
51.11433483440168 3.316998484355346e-26
54.158713780794734 3.5966505864102694e-26
57.384416483023955 3.886485733501948e-26
60.80224261649424 3.952272492517088e-26
64.42363508721374 3.9510915972454404e-26
68.26071834272389 4.082669789832305e-26
72.32633896483537 4.2186297640960347e-26
76.63410868007459 4.1092186637991485e-26
81.19844993184013 3.781990247453158e-26
86.03464416684504 3.2764188726080465e-26
91.15888299750823 2.8761769993706514e-26
96.58832241158703 2.733286966234059e-26
102.34114021054538 2.5974957874357737e-26
108.43659686896109 2.4184339115622455e-26
114.89510001873097 2.2222546716207093e-26
121.7382727739662 1.999522971370764e-26
128.98902612533095 1.850067858499171e-26
136.67163564620074 1.756259679650735e-26
144.81182276745344 1.6523056919937385e-26
153.43684089300132 1.5501954380846463e-26
162.5755666443795 1.4424001501097854e-26
172.25859653987874 1.3998742553800103e-26
182.51834943190443 1.368801324008042e-26
193.38917504552322 1.3471516398513594e-26
204.90746898158483 1.3245253411007436e-26
217.11179456945052 1.298724952418996e-26
230.0430119772919 1.2734745825102482e-26
243.74441501222216 1.2679359869084774e-26
258.2618760682677 1.2932649396754045e-26
273.6439997074672 5.256055516335961e-27
289.9422853882878 6.06469396209905e-27
307.21129988617594 6.997740556507794e-27
325.508859983506 8.074335358423467e-27
344.896226040576 9.316563104023284e-27
365.4383070957258 1.0749906242214288e-26
387.20387818125573 1.2403767669055234e-26
410.26581058271944 1.431207388430301e-26
434.7013158125026 1.6513970942939315e-26
460.5922041145108 1.8555853591074976e-26
488.02515836544336 1.7513008223219273e-26
517.092024289676 1.652877112449656e-26
547.8901179593945 1.5599848489979818e-26
580.5225516094902 1.4723131627714265e-26
615.0985788580505 1.3895686555304524e-26
651.7339604882427 1.311474418117715e-26
690.5513520162331 1.2377691037659604e-26
731.68071434272 1.1682060534863394e-26
775.2597488629465 1.1025524706101961e-26
821.434358491943 1.0807521985217664e-26
870.3591361485165 1.0888371216391759e-26
922.1978823334332 1.0969825266893575e-26
977.1241535346502 1.1051888661273408e-26
1035.3218432956626 1.1134565957929182e-26
1096.985797892384 1.121786174935918e-26
1162.322468679853 1.1301780662417464e-26
1231.550603292826 1.13863273585708e-26
1304.9019780144029 1.1471506534157513e-26
1382.6221737646563 1.1595396406173111e-26
1464.9713983072863 1.3138172880787042e-26
1552.225357427048 1.488621696051321e-26
1644.6761779946644 1.6866839659229529e-26
1742.6333860096508 1.911098574236742e-26
1846.4249428955445 2.165371720037175e-26
1956.3983435170649 2.4534761048677922e-26
2072.921779595372 2.7799130012900933e-26
2196.385372416547 3.1497825796669495e-26
2327.2024789604097 3.568863591979061e-26
2465.811075822604 3.9206537333132354e-26
2612.675225563329 4.163061552381342e-26
2768.2866303920664 4.420457063488168e-26
2933.166278390045 4.6937669319265373e-26
3107.866187782014 4.9839751172387306e-26
3292.9712550971512 5.29212641562907e-26
3489.1012134067737 5.619330221398791e-26
3696.9127071950284 5.966764520943904e-26
3917.1014908092607 6.335680133696235e-26
4150.404757850477 6.727405215274497e-26
4397.603609302721 7.144212986502254e-26
4659.525668664682 7.586920169205403e-26
4937.047852839004 8.057060695509542e-26
5231.099308056264 8.556334534085795e-26
5542.664520663107 9.086546995977323e-26
5872.7866131894825 9.64961526237553e-26
6222.570836730231 1.0247575316904516e-25
6593.188271333548 1.0882589307480718e-25
6985.879746785249 1.1556953364366085e-25
7401.959996915644 1.2615781560779234e-25
7842.822061337682 1.4426964272755263e-25
8309.941949353395 1.6498169148269627e-25
8804.883581643464 1.8866726228672708e-25
9329.304026284686 2.1575324836878794e-25
9884.959046625587 2.4672782981787283e-25
10473.708979594508 2.821492722213127e-25
11097.524964120721 3.226559884783963e-25
11758.495540521582 3.689780451367351e-25
12458.833642950081 4.219503206339537e-25
13200.884008314195 4.906210410044966e-25
13987.131026472387 5.7255443848400835e-25
14820.2070579886 6.681706605093066e-25
15702.901247293774 7.797547299564066e-25
16638.168860761307 9.099732670481847e-25
17629.14118095948 1.0619382158651789e-24
18679.135990207847 1.2392812131427122e-24
19791.668678535574 1.4462403766091294e-24
20970.46401323235 1.68776158692052e-24
22219.468609395237 1.900325408452856e-24
23542.8641432242 1.940270368276505e-24
24945.081352303165 1.981054973672561e-24
26430.814869741083 2.0226968740438475e-24
28005.03894183631 2.0652140897847463e-24
29673.024081888725 2.1086250200795095e-24
31440.354715915 2.1529484508643565e-24
33312.94787934677 2.1982035629570694e-24
35297.0730273065 2.244409940357475e-24
37399.373024788016 2.291587578722264e-24
39626.88638701478 1.4969807458236345e-23
41987.07084443914 1.643655691687711e-23
44487.82831127585 1.7999362451918807e-23
47137.53134116729 1.957658282799592e-23
49945.0511585514 2.1821716182340537e-23
52919.78735958447 2.397212715005828e-23
56071.69938205458 2.6452653584756137e-23
59411.339849650394 2.9207845308340344e-23
62949.88990221888 3.1954777509838133e-23
66699.19663030129 3.504720254948499e-23
70671.81273927492 3.918941236332061e-23
74881.03857590031 1.0
79340.96665797492 1.0
84066.52885618334 1.0
89073.5463861044 1.0
94378.7827777539 1.0
100000.0 1.0
