m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108135 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 1.0
2.2478058335487257 1.0
2.3816855519761586 1.0
2.5235391704347663 1.0
2.673841615839947 1.0
2.8330961018393244 1.0
3.0018358135755894 1.0
3.18062569279412 1.0
3.370064329271929 1.0
3.5707859649004634 1.0
3.78346261713193 1.0
4.008806328898466 1.0
4.2475715525368996 1.0
4.500557675700499 1.0
4.768611697714471 1.0
5.052631065335681 1.0
5.353566677410726 1.0
5.672426068491979 1.0
6.010276782070383 1.0
6.368249944718587 1.0
6.747544053110695 1.0
7.149428986597578 1.0
7.575250258771915 1.0
8.026433522257175 1.0
8.50448934180268 1.0
9.011018251665021 1.0
9.54771611420806 1.0
10.116379797662075 1.0
10.71891319205128 1.0
11.357333583431057 1.0
12.033778407775898 1.0
12.750512407130135 1.0
13.509935211980272 1.0
14.314589375234792 1.0
15.167168884709232 1.0
16.070528182616393 1.0
17.027691722259004 1.0
18.041864093920726 1.0
19.116440753857027 1.0
20.255019392306675 1.0
21.461411978584046 1.0
22.739657523579286 1.0
24.094035602395255 1.0
25.52908068239518 1.0
27.049597304631355 1.0
28.660676169482517 1.0
30.36771118035459 1.0
32.17641750250737 1.0
34.09285069746813 1.0
36.12342699709432 1.0
38.27494478516313 1.0
40.5546073584083 1.0
42.97004704320842 1.0
45.5293507486695 1.0
48.241087041653714 1.0
51.11433483440168 1.0
54.158713780794734 1.0
57.384416483023955 1.0
60.80224261649424 1.0
64.42363508721374 1.0
68.26071834272389 1.0
72.32633896483537 1.0
76.63410868007459 1.0
81.19844993184013 1.0
86.03464416684504 1.0
91.15888299750823 1.0
96.58832241158703 1.0
102.34114021054538 1.0
108.43659686896109 1.0
114.89510001873097 1.0
121.7382727739662 1.0
128.98902612533095 1.0
136.67163564620074 1.0
144.81182276745344 1.0
153.43684089300132 1.0
162.5755666443795 1.0
172.25859653987874 1.0
182.51834943190443 9.036838721283392e-22
193.38917504552322 5.93756013652134e-22
204.90746898158483 3.901211636296751e-22
217.11179456945052 2.6571188498205265e-22
230.0430119772919 2.0793909787685985e-22
243.74441501222216 5.678080134717534e-23
258.2618760682677 3.516689661170299e-23
273.6439997074672 7.590483442553271e-26
289.9422853882878 6.798189783070033e-26
307.21129988617594 6.088595631148841e-26
325.508859983506 5.453068823110091e-26
344.896226040576 4.883878219379216e-26
365.4383070957258 4.3740996557096485e-26
387.20387818125573 3.9175317112045177e-26
410.26581058271944 3.5086202684614204e-26
434.7013158125026 3.1423909481190424e-26
460.5922041145108 2.848067998047871e-26
488.02515836544336 2.7913402243545166e-26
517.092024289676 2.735742353567417e-26
547.8901179593945 2.6812518802982155e-26
580.5225516094902 2.6278467474205276e-26
615.0985788580505 2.5755053371414662e-26
651.7339604882427 2.5242064622510039e-26
690.5513520162331 2.4739293575456303e-26
731.68071434272 2.424653671422832e-26
775.2597488629465 2.3763594576429955e-26
821.434358491943 2.3705281043490958e-26
870.3591361485165 2.395149475768982e-26
922.1978823334332 2.4200265758298935e-26
977.1241535346502 2.445162060644516e-26
1035.3218432956626 2.4705586139131877e-26
1096.985797892384 2.496218947210312e-26
1162.322468679853 2.522145800273924e-26
1231.550603292826 2.5483419412982656e-26
1304.9019780144029 2.5748101672292156e-26
1382.6221737646563 2.6077758933136066e-26
1464.9713983072863 2.8695427154937374e-26
1552.225357427048 3.157585518432021e-26
1644.6761779946644 3.4745418677261636e-26
1742.6333860096508 3.823314086066904e-26
1846.4249428955445 4.207095829380193e-26
1956.3983435170649 4.62940133066496e-26
2072.921779595372 5.0940975793080193e-26
2196.385372416547 5.605439730537345e-26
2327.2024789604097 6.168110069252894e-26
2465.811075822604 6.701015524151082e-26
2612.675225563329 7.178193403312918e-26
2768.2866303920664 7.689351016970385e-26
2933.166278390045 8.236908054733503e-26
3107.866187782014 8.823456511791007e-26
3292.9712550971512 9.451772958753203e-26
3489.1012134067737 1.0124831685228681e-25
3696.9127071950284 1.0845818779351337e-25
3917.1014908092607 1.1618147209908156e-25
4150.404757850477 1.2445472982462146e-25
4397.603609302721 1.2776292394773587e-25
4659.525668664682 1.3028647824229504e-25
4937.047852839004 1.3145679253714725e-25
5231.099308056264 1.3321839325562872e-25
5542.664520663107 1.346031616496396e-25
5872.7866131894825 1.3452274619969203e-25
6222.570836730231 1.3639845645854727e-25
6593.188271333548 1.3834388257853902e-25
6985.879746785249 1.4032278585345783e-25
7401.959996915644 1.4266522399777946e-25
7842.822061337682 1.44540836055517e-25
8309.941949353395 1.4766630478226341e-25
8804.883581643464 1.5168314205061172e-25
9329.304026284686 1.5504535672564475e-25
9884.959046625587 1.577592580663195e-25
10473.708979594508 1.624547908223991e-25
11097.524964120721 1.6733159248283094e-25
11758.495540521582 1.7257135033793376e-25
12458.833642950081 1.777141408288182e-25
13200.884008314195 1.8317063125790602e-25
13987.131026472387 1.8921292998705213e-25
14820.2070579886 1.9737233846221579e-25
15702.901247293774 2.05073688004741e-25
16638.168860761307 2.11545138729889e-25
17629.14118095948 2.207293335491628e-25
18679.135990207847 2.310873467563939e-25
19791.668678535574 2.4184668166734476e-25
20970.46401323235 2.529196391224694e-25
22219.468609395237 2.6301663780677994e-25
23542.8641432242 2.721472987408249e-25
24945.081352303165 2.8664836345083675e-25
26430.814869741083 3.026744913435723e-25
28005.03894183631 3.16714748619552e-25
29673.024081888725 3.3137264918333926e-25
31440.354715915 3.4644404689884387e-25
33312.94787934677 3.629077837052303e-25
35297.0730273065 3.833782401862088e-25
37399.373024788016 4.0685328956902584e-25
39626.88638701478 4.31815735837237e-25
41987.07084443914 4.543998325736603e-25
44487.82831127585 4.772759037943595e-25
47137.53134116729 5.054489925257914e-25
49945.0511585514 5.363250753391132e-25
52919.78735958447 5.691145931990809e-25
56071.69938205458 6.05280743813623e-25
59411.339849650394 6.431026702864633e-25
62949.88990221888 6.823011868523144e-25
66699.19663030129 7.237896743859703e-25
70671.81273927492 9.156873000874684e-23
74881.03857590031 9.580964969326809e-23
79340.96665797492 1.0024698358784529e-22
84066.52885618334 1.0489887691433245e-22
89073.5463861044 1.100323564061625e-22
94378.7827777539 1.154170550956456e-22
100000.0 1.210652669999998e-22
