m_DM[GeV] sigmav[cm^3/s]
1.0 1.0
1.059560179277616 1.0
1.1226677735108137 1.0
1.1895340673703196 1.0
1.2603829296797275 1.0
1.3354515629298989 1.0
1.414991297434576 1.0
1.4992684327860457 1.0
1.5885651294280527 1.0
1.6831803533309568 1.0
1.7834308769319096 1.0
1.88965233969121 1.0
2.0022003718155847 1.0
2.1214517849106302 3.900848950034457e-27
2.2478058335487257 3.882473562169154e-27
2.3816855519761586 3.851107514056282e-27
2.5235391704347663 3.834477641969501e-27
2.673841615839947 3.82645785824658e-27
2.8330961018393244 3.79782423205603e-27
3.0018358135755894 3.779286718070362e-27
3.18062569279412 3.770890277098392e-27
3.370064329271929 3.772179195996674e-27
3.5707859649004634 3.777585644100961e-27
3.78346261713193 3.777585644100961e-27
4.008806328898466 3.777585644100961e-27
4.2475715525368996 3.777585644100961e-27
4.500557675700499 3.777585644100961e-27
4.768611697714471 3.780536289286869e-27
5.052631065335681 3.819126832857485e-27
5.353566677410726 3.954435385010824e-27
5.672426068491979 4.102113215241121e-27
6.010276782070384 4.255231143035701e-27
6.368249944718588 4.417064112985169e-27
6.747544053110695 4.5890379789657125e-27
7.149428986597579 4.7851846832956276e-27
7.575250258771915 5.058970391000053e-27
8.026433522257175 5.340257575178403e-27
8.50448934180268 5.6548862054894836e-27
9.011018251665021 6.018726773564676e-27
9.54771611420806 6.3501863649175835e-27
10.116379797662075 3.921035406759726e-27
10.71891319205128 4.094027443749895e-27
11.357333583431057 4.27728480235518e-27
12.033778407775898 4.504875988547169e-27
12.750512407130135 4.744577134778201e-27
13.509935211980272 4.9218013754572656e-27
14.314589375234792 5.062926339543165e-27
15.167168884709232 5.1715109319148644e-27
16.070528182616393 5.2472746759589505e-27
17.027691722259004 5.4416129753141345e-27
18.041864093920726 5.7046796481439935e-27
19.116440753857027 5.959923883068583e-27
20.255019392306675 6.197661261836258e-27
21.461411978584046 6.292912073223991e-27
22.739657523579286 6.095934494839728e-27
24.094035602395255 5.9119339001021815e-27
25.52908068239518 5.729226032909046e-27
27.049597304631355 5.598528961645866e-27
28.660676169482517 5.53070727122081e-27
30.36771118035459 5.384803943101925e-27
32.17641750250737 5.521265607183183e-27
34.09285069746813 6.045836918446096e-27
36.12342699709432 6.767885518878449e-27
38.27494478516313 7.488870834747163e-27
40.5546073584083 9.006532832044824e-27
42.97004704320842 1.164945188485297e-26
45.5293507486695 1.2342153505762256e-26
48.241087041653714 1.310855202937775e-26
51.11433483440168 1.3882649114597082e-26
54.158713780794734 1.4694243453177584e-26
57.384416483023955 1.5577448108881378e-26
60.80224261649424 1.652169362544283e-26
64.42363508721374 1.7469198876035127e-26
68.26071834272389 1.8445386304868496e-26
72.32633896483537 1.9595187599085869e-26
76.63410868007459 2.0877510313715414e-26
81.19844993184013 1.9962466710191196e-26
86.03464416684504 1.9237377788625616e-26
91.15888299750823 1.8528252611034428e-26
96.58832241158703 1.7836347829495643e-26
102.34114021054538 1.7706334588542225e-26
108.43659686896109 1.8284594268310502e-26
114.89510001873097 1.8903373657664808e-26
121.7382727739662 1.9529525972762482e-26
128.98902612533095 2.019711603432498e-26
136.67163564620074 2.0881296165127179e-26
144.81182276745346 2.1651006814770544e-26
153.43684089300132 2.237200647384255e-26
162.5755666443795 2.3414097776678183e-26
172.25859653987874 2.5091686264288518e-26
182.51834943190443 2.686992554931337e-26
193.38917504552322 2.874580546299899e-26
204.90746898158483 3.0754010191354806e-26
217.11179456945052 3.289565446364459e-26
230.0430119772919 3.520315194489863e-26
243.74441501222216 3.7701815270962773e-26
258.2618760682677 4.0680785520594567e-26
273.6439997074672 4.4216633778523757e-26
289.9422853882878 4.801354283075577e-26
307.21129988617594 5.216551610269411e-26
325.508859983506 5.668472025472356e-26
344.896226040576 6.160069222725552e-26
365.4383070957258 6.720691608187638e-26
387.20387818125573 7.352324021097306e-26
410.26581058271944 8.044374903772699e-26
434.7013158125026 8.801695446735448e-26
460.5922041145108 9.286135575476714e-26
488.02515836544336 9.611073420729503e-26
517.092024289676 1.0027050236259972e-25
547.8901179593945 1.0508774019613547e-25
580.5225516094902 1.110052479823595e-25
615.0985788580505 1.1729793988840888e-25
651.7339604882427 1.2405432366745534e-25
690.5513520162331 1.3165155771186519e-25
731.68071434272 1.414321435778942e-25
775.2597488629465 1.520739737778612e-25
821.434358491943 1.6437117643974767e-25
870.3591361485165 1.776046603239404e-25
922.1978823334332 1.9108098435510412e-25
977.1241535346502 2.055798677552713e-25
1035.3218432956626 2.2267502865818786e-25
1096.985797892384 2.4144912283539574e-25
1162.322468679853 2.6548532105448277e-25
1231.550603292826 2.9237047706673652e-25
1304.9019780144029 3.3578722874367106e-25
1382.6221737646563 3.8565132881599892e-25
1464.9713983072863 4.333054587295757e-25
1552.225357427048 4.846320850868054e-25
1644.6761779946644 5.535551172609201e-25
1742.6333860096508 6.4341372903968795e-25
1846.4249428955445 7.539965099738218e-25
1956.3983435170649 8.71619160067477e-25
2072.921779595372 9.609067563228558e-25
2196.385372416547 1.0710589118235707e-24
2327.2024789604097 1.2206179189617464e-24
2465.811075822604 1.3856949471067635e-24
2612.675225563329 1.5677334376278588e-24
2768.2866303920664 1.8114678828860836e-24
2933.1662783900456 2.0418734503977315e-24
3107.866187782014 2.2116133167125283e-24
3292.9712550971512 2.3807052693508652e-24
3489.1012134067737 2.5525242022459747e-24
3696.9127071950284 2.7277459229188976e-24
3917.1014908092607 2.9047219400584854e-24
4150.404757850477 3.1114059689276415e-24
4397.603609302721 3.351636842131604e-24
4659.525668664682 3.617933318257309e-24
4937.047852839004 3.920875930425585e-24
5231.099308056264 4.1726201732351474e-24
5542.664520663107 4.279902226174722e-24
5872.7866131894825 4.3778225380639415e-24
6222.570836730231 4.411996993313391e-24
6593.188271333548 4.493282180295781e-24
6985.879746785249 4.669677304081535e-24
7401.959996915644 4.8411034883191305e-24
7842.822061337682 4.922517889008999e-24
8309.941949353395 5.004289891237592e-24
8804.883581643464 5.062808871111302e-24
9329.304026284686 5.1220121580655145e-24
9884.959046625587 5.17782295011257e-24
10473.708979594508 5.234104461913182e-24
11097.524964120721 5.289067473875019e-24
11758.495540521582 5.3443802751191334e-24
12458.833642950081 5.395744181930109e-24
13200.884008314195 5.4466218461339184e-24
13987.131026472387 5.570800398753294e-24
14820.2070579886 5.722690220035512e-24
15702.901247293776 5.9358327055036856e-24
16638.168860761307 6.1851843851936565e-24
17629.14118095948 6.455339348905305e-24
18679.135990207847 6.74433333789045e-24
19791.668678535574 7.082200946228193e-24
20970.46401323235 7.470355517010854e-24
22219.468609395237 7.912909518750079e-24
23542.864143224204 8.42334065705125e-24
24945.081352303165 8.965295937275444e-24
26430.814869741083 9.53973140522707e-24
28005.03894183631 1.0175353562711776e-23
29673.024081888725 1.0911310975912622e-23
31440.354715915 1.1751742242567734e-23
33312.94787934677 1.283697722789027e-23
35297.0730273065 1.4026965169908644e-23
37399.373024788016 1.5353029634836792e-23
39626.88638701478 1.6804540444610507e-23
41987.07084443914 1.8394255822917742e-23
44487.82831127585 2.013178357024347e-23
47137.53134116729 2.179622211450748e-23
49945.0511585514 2.3598271698447242e-23
52919.78735958447 2.577538004287756e-23
56071.69938205458 2.823194864808309e-23
59411.3398496504 3.1516215863247326e-23
62949.88990221888 3.526223191510988e-23
66699.19663030129 3.923720670353528e-23
70671.81273927492 4.362908710509474e-23
74881.03857590031 4.9240679958781425e-23
79340.96665797492 5.567307023938325e-23
84066.52885618334 6.312511751482331e-23
89073.5463861044 7.170216649254784e-23
94378.7827777539 8.176607876828144e-23
100000.0 9.324253316440048e-23
