# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3	eta
4.049223537639126159e-03	-5.443593571179335643e-03	7.138785732922544626e-03	9.059363280030193755e-01	3.572430397551877856e-01	6.023102242027101607e-05	-1.077046206642018333e-02	1.122146747819306560e-02	-9.627927277774768673e-06	-1.279196585152002873e-02	-1.729035335039419245e-03	2.819823107073661083e-03	8.387657639446538527e-01	-3.858617387717785951e-01	-5.673257997447109599e-05	-4.884874637093482991e-03	-2.639851032146158655e-02	-1.652426174950372750e-05	1.728430393361394439e-03	2.104480288186021206e-03	9.049296914614191110e+02	9.049586393420322565e+02	3.784207231530662625e+02	3.847524085084985472e+02	3.861602241240067883e+02	-1.314664445895054150e-02
-4.421134195930876733e-03	-2.526233439863341812e-01	5.110457557419083308e-02	-3.199517899431220808e-02	5.934042989052358552e-02	-8.142620949759862836e-02	-4.440315100704911311e-02	7.935740364443147343e-02	9.158079493926376546e-01	-2.184814325684143537e-04	-1.313456506005517832e-01	-8.942593466751211362e-02	-1.497919790694884068e-01	-8.598951999485836620e-03	-2.930734551414825861e-01	1.559917927946203632e-02	1.915930364882499071e-01	-3.611816977337225509e-01	2.934053810877246260e-03	7.200420438658610214e-03	3.322163520135446220e+02	3.323501797914261147e+02	1.429451453325835359e+02	1.432117503640475888e+02	1.456813689499201416e+02	1.829823228161619672e-02
8.458538924155530568e-04	4.553435766873763810e-04	5.001028662676342273e-01	8.831631975535374213e-03	3.675577147736730152e-03	1.974151843566565936e-03	7.304733247986096023e-01	-6.517654215019618169e-01	9.520137289130866352e-06	2.063043373065387204e-04	8.323740880409977335e-05	-4.922436856925174742e-01	1.848328283251788554e-03	2.438980093136451990e-03	1.612293024666162011e-03	9.306671419809108281e-01	5.115254007067329134e-01	-3.748184164004800842e-04	5.797536226471560611e-02	2.968894116680398376e-02	1.836569773247364765e+03	1.837048145680153993e+03	1.141754480162767777e+03	1.158948852042490671e+03	1.163626554821995569e+03	-2.050545788542093573e-02
-1.936461951664150477e-04	5.943601613254778735e-04	-1.436405528006595234e-04	-7.770227495001883009e-04	5.918457347023214216e-03	-1.130791662633941006e-05	-7.493925407006911676e-01	-3.193056237578061896e-01	-1.806375451864670048e-06	-3.013601207510945793e-03	-3.501928473994698462e-05	1.562571182923123926e-03	4.399080964812654773e-03	5.575961757681113969e-03	-1.086290306352671430e-05	1.614161680515836084e+00	-1.482535338970568661e-01	2.085582249957087803e-06	-1.018848507024370242e-01	1.887375458163147559e-03	1.139921236147185482e+03	1.138565797981407741e+03	4.932914342259172713e+02	6.570170654735136395e+02	6.636884260963214501e+02	-8.106459030352622386e-02
3.196302326304278994e-03	-2.085872349828815555e-04	-6.608815535660137646e-04	-1.272527228363665497e+00	9.182062843770166793e-02	1.356821853599400795e-06	1.790517835647592940e-03	1.866784851512692843e-03	-4.885104574559437276e-04	-1.795452610089362825e-03	-3.925353832390497157e-04	-3.369275740105315926e-04	1.257211806967135415e+00	9.293597301793687926e-02	5.839501804735577743e-06	-9.202730899148336627e-03	-7.244153173689018925e-05	3.512839238835645727e-04	-4.442477773246292228e-01	9.623803409911783555e-03	1.099419328308221111e+03	1.093277986959815507e+03	4.634752392070771521e+02	5.256184764698513163e+02	5.259517664512529791e+02	-3.712102439603246623e-02
-2.775184311956027661e-02	-7.237923519417985285e-02	-7.006792340095699184e-04	-4.183346632261338849e-01	2.585479015850800436e-02	9.746585620711356113e-04	-4.550541423894187421e-02	4.053793985098039145e-04	4.898274847812913204e-05	-3.350698949817272187e-03	9.720962484648563995e-02	-7.949082218227139377e-04	-1.692379053905521680e+00	-5.403824634952801922e-03	-2.274815290202557153e-04	-1.269542141808866278e-02	-4.840544856515687487e-04	-2.259734673137308702e-04	5.479494313976386241e-03	-5.425270903960946467e-02	1.139848762418939259e+03	1.139921618537772929e+03	5.234430623156989668e+02	6.070266280527943081e+02	6.074514625186076273e+02	-4.545993064985591470e-02
1.209065424030973689e-04	3.731591610377554602e-05	-1.825503720310217581e-04	3.368923926555943320e-07	1.540599929412130129e-04	1.414692562800664471e-04	-7.502710998289472463e-05	6.195851285426054315e-05	-2.500018553840486612e-04	2.781074532266941972e-05	2.207306124877470870e-05	9.657729535077822479e-05	4.218701114156020974e-05	-4.377423946616575324e-05	2.604056734940436951e-05	-3.750439366383220987e-05	-3.513626182982331571e-05	1.379845318584360586e-05	2.521830405351968007e-01	-3.401919381496920636e-01	9.013400583543178755e+02	9.055705988401249442e+02	9.052665891534101092e+02	9.052665895221414303e+02	9.052665936251821677e+02	4.851077565415228693e-02
-5.325113678355776481e-02	-8.435671462144906929e-01	-5.935208079168277640e-02	-3.497281531561093892e-01	1.168411826167989748e-01	-1.186314721927026472e+00	-2.131246343900048135e-01	-4.498181500255883647e-02	7.304579697051011289e-01	1.129229621424796548e-01	6.949244111448692474e-01	-5.414117719926405531e-02	-1.358076757269309487e-01	-2.118318211693211248e-03	5.565884168816761512e-01	-3.228142025045951380e-01	2.862501014022628687e-01	5.596620968508300153e-01	-3.210463819225390508e-02	-2.318452932864865576e-03	1.503298934317050225e+03	1.502975224511836814e+03	9.339852436456280884e+02	9.486708520274576131e+02	9.677056938265070585e+02	1.602222950718240613e-02
-1.502121464684801305e-04	1.356433890317138415e-04	-1.566513141238381947e-03	3.560353746005743441e-04	-4.135283741370072985e-03	1.374287687115624242e-03	-6.964594130400738781e-06	-1.868382440204422248e-02	3.038002226031627506e-01	1.345379121380893192e-04	-2.191202621930419387e-04	-9.813973184090679473e-04	-6.229309803122669916e-05	-1.415934260895865444e-02	1.408206389520864953e-03	1.200414127038806303e-05	4.248600384596466772e-02	1.342034855164757623e-01	-2.705513566849923057e-01	2.172818934250674017e-01	7.499327449202542084e+02	7.444448469606636536e+02	7.333532057091385923e+02	7.348380105360296284e+02	8.024163844044863936e+02	8.537085245769581165e-01
2.158704643548606250e-01	4.573784682520318223e-01	-1.253562246218785092e-01	1.504856658595981993e-02	6.544152360564951939e-04	8.930646302013145466e-01	-9.106161233757550932e-02	7.752204800051739619e-01	6.076511117329464612e-02	5.063360025313186075e-01	5.079609685122101759e-01	-1.267111765984866301e-01	-7.931727005589754576e-02	2.956088904137534710e-05	-1.303846255680449540e+00	-2.783415076827957524e-01	1.025172664462731698e+00	7.222911969749244709e-02	3.838268061347028248e-01	8.430651862326775034e-03	1.948168343701309823e+03	1.951152097837399651e+03	1.076754021147644607e+03	1.102120147384520351e+03	1.108286826130636655e+03	1.373967147462118975e-02
