# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3
-9.094328490488153838e-01	1.640310619737041578e-02	-1.884035380662511667e-05	-7.177677163934092358e-04	1.308206484362794377e-05	-2.026946154524790543e-04	8.334356193383354872e-02	2.233568553593322931e-02	9.161942072258969275e-05	-3.121840741802460184e-01	-4.667110652955020617e-02	6.282023014334333223e-05	1.482688427963160100e-04	-2.269384043640714166e-05	9.312200721518772378e-05	8.193265034648967993e-02	-1.847829174685913095e-02	-6.490385504142101971e-05	4.307900730166453265e-03	1.726734604409585049e-03	1.705271493419146509e+03	1.705309780648694414e+03	6.473496585686015123e+02	6.993783678971458357e+02	6.995613238291086873e+02
-2.371791753256170755e-04	2.587692428449067314e-02	-5.156827284290813607e-01	-3.946937542427829729e-04	4.036475523747858063e-02	1.116472116492581046e+00	-1.666491964716556998e-04	-1.372129587640447731e-03	-2.020166282008263037e-01	1.499693872915210243e-04	1.172660550747110925e-01	-3.895291032353874749e-01	-2.088057517594305078e-04	-9.413909004885053985e-03	-1.337991746019486339e+00	-3.668328659453802217e-04	-6.238599341462327218e-03	-1.737208757136632087e-01	-7.236630923218853040e-01	9.997618185578482919e-01	7.801932546627964484e+02	7.660063541607526076e+02	2.593426732665548684e+02	2.599446622904822561e+02	3.905133367570911673e+02
-1.928819523703324823e-02	-1.044001135243682876e-01	6.566803832716262557e-01	-7.757891026564064962e-05	-1.440369456084792971e-04	-1.884583526840437912e-05	1.272836895757764597e-01	6.406304942040280670e-02	4.354308894937710117e-01	1.123369807391643299e-01	-1.721941562088383781e-01	-3.152608281347084596e-01	1.893226248128185502e-04	-6.139456549984854267e-04	1.103509274060847497e-03	-7.032243734808935054e-02	-1.304847492053133884e-01	1.044024042588991841e-01	-1.073767153758648091e-01	-3.948265916972611839e-03	2.452732839288977175e+03	2.452069240956782323e+03	1.387486608953484392e+03	1.405768863750365199e+03	1.850124777197059984e+03
5.113188508057042725e-01	9.738798526170051872e-03	1.804744899176555640e-04	1.161576128754096375e-02	1.260173176693375275e-04	-4.358269076627087173e-03	-1.192126965437111932e-03	-5.323217940879690011e-03	1.472727576397030321e-04	4.558733473681075288e-01	-1.089434350000708165e-02	3.204884374703174162e-04	1.352261794329606866e-02	-6.854953287988263229e-04	-1.390006250966517240e-02	8.341595527701326255e-04	-1.406263245616913744e-02	4.594686768340924474e-04	2.264506728145872921e-03	1.079189541241023500e-03	1.543239197525876079e+03	1.543261436968731914e+03	8.192996770973452385e+02	8.630147046477087542e+02	8.630359064570193368e+02
1.615766032282213438e-02	6.360466672816658673e-02	-1.375389811824521968e-01	1.348554415935170655e-04	-5.980778474294727864e-01	-2.937885516724721424e-01	2.642203283723297221e-04	8.618313866157089470e-03	-7.417977220258413149e-03	-2.637505302297719467e-03	1.008731070699853682e-01	5.429084930611779297e-02	-3.087624322005828436e-03	2.210697194920794861e-01	-7.800361928497316910e-01	-1.171742297010372030e-04	5.906451699194801078e-03	1.177062439834120761e-02	-5.807899283808724139e-02	5.382241095745553539e-01	6.990034526961452457e+02	6.977430243830698373e+02	3.865435125795351041e+02	3.914904589422130812e+02	3.949708715401964696e+02
-2.895047982455446409e-04	5.854607464685041918e-04	7.430442553648322068e-01	-2.521935007360879725e-05	-1.168856280351706928e-03	6.463257905403147451e-04	-8.072353105019388362e-05	-8.974078003803566726e-06	2.260424873336574797e-04	1.510394552414279982e-04	-2.819909030799414777e-04	1.425125139220291270e+00	-4.160321147523305123e-05	-4.362740938538187639e-03	7.426369505074265770e-03	1.157199241099227880e-04	3.276867296825911200e-06	1.799692187343646110e-03	4.267118227181628809e-01	8.512413287928595820e-03	5.353828250632175241e+02	5.473292607514690644e+02	2.753482993451909238e+02	2.753525982944910311e+02	8.119907179677729800e+02
1.897110667110405357e-03	8.073110183762152725e-03	-1.007820445216138787e-04	-9.700357908437581616e-04	8.696027375564917110e-04	3.386656062668476217e-05	-1.100041245411299107e+00	-1.538410665941455352e-05	3.272039260684513794e-05	1.829278988084689309e-03	-1.832869776200366993e-02	2.113453472459332508e-04	7.284059014034802897e-04	-1.064761716924246971e-03	-7.714760840393775597e-05	4.776023770273931345e-03	6.090193510008718456e-04	7.514077567127474405e-03	-3.930010842998258314e-01	-1.826325086163347027e-03	1.240699575351473186e+03	1.235889449238593215e+03	1.559558991261715164e+02	1.745942156118421451e+02	1.745995596279686310e+02
-2.115455297864897650e-04	-5.163644688326612833e-05	-3.450512647877467692e-04	-2.442865094416588334e-01	-3.436243005697515659e-03	6.578811682537401490e-05	-3.318319765536790339e-02	3.303467897167128298e-02	1.844012931681634907e-04	-9.021772447972552667e-05	4.207359675274133329e-05	5.519402676068700447e-04	2.888131288647306782e-02	1.158380831364441525e-02	-5.097021687326014653e-04	1.112008267297265984e+00	-6.995833570633664094e-05	3.317227364207121505e-05	5.694561724359457726e-03	-8.547310110203277730e-03	1.591514486214759245e+03	1.591568714887162287e+03	9.117049390845105563e+02	9.364113332246203072e+02	9.364348896291335222e+02
5.230712881113742290e-04	1.524079454690915880e-02	3.643679507712166976e-01	-2.481600135530721233e-03	8.055268132568247155e-04	-3.969604997617922140e-03	1.237969284172102901e-04	-7.412302012959268160e-04	-3.062332836325244445e-01	2.049648706907025318e-04	7.737869052197182858e-03	-6.956656116956635438e-01	-5.530084829786592084e-03	1.633909461680551223e-03	1.297540351786836878e-03	-2.248201968482281803e-04	-6.976250598387500820e-03	5.679260841358714507e-02	1.031835651291661826e-01	1.257619031153809630e-01	1.755914783071776810e+03	1.756805180011509037e+03	6.186336282823308466e+02	6.187351850463572873e+02	8.542898729343156674e+02
4.885455504005192752e-04	5.436520301440681685e-02	-4.680613662986473633e-01	-2.231058242521670801e-02	2.999661926013673981e-03	-1.241763301652533125e-01	1.933674973315981115e-05	-7.957699104430564663e-05	-1.762114211443199086e-05	5.237163441724024086e-03	-4.047624695832825747e-02	-6.298235923289658977e-01	-2.420132854334907865e-02	-1.042769509087481360e-02	-3.126474245640806920e-02	7.948418634887997110e-05	-2.200265808646519885e-04	8.074261754609885974e-04	3.017417598253379629e-01	1.044527698019755146e-01	2.460727701865905601e+03	2.462585483280783137e+03	1.075677833275126204e+03	1.076126776039476681e+03	1.154361194902882744e+03
